"검색문구","상태","위도","경도","검색결과주소","OSM종류","OSM_ID","오류"
"대한민국 경기도 가평군 가평읍","OK","37.8253380","127.5166062","가평읍, 가평군, 경기도, 대한민국","relation","19370912",""
"대한민국 경기도 가평군 북면","OK","37.9266500","127.5109300","북면, 가평군, 경기도, 대한민국","relation","19370913",""
"대한민국 경기도 가평군 상면","OK","37.7937800","127.3394400","상면, 가평군, 경기도, 대한민국","relation","19370910",""
"대한민국 경기도 가평군 설악면","OK","37.6575000","127.5031000","설악면, 가평군, 경기도, 대한민국","relation","19369953",""
"대한민국 경기도 가평군 조종면","OK","37.8485770","127.3625446","조종면, 가평군, 경기도, 대한민국","relation","19370911",""
"대한민국 경기도 가평군 청평면","OK","37.7256797","127.4264583","청평면, 가평군, 경기도, 대한민국","relation","19370909",""
"대한민국 경기도 고양시 덕양구 고양동","OK","37.7090099","126.8997941","고양동, 덕양구, 고양시, 경기도, 대한민국","relation","12657663",""
"대한민국 경기도 고양시 덕양구 관산동","OK","37.6980373","126.8616018","관산동, 덕양구, 고양시, 경기도, 대한민국","relation","13734810",""
"대한민국 경기도 고양시 덕양구 능곡동","OK","37.6266625","126.8070727","능곡동, 덕양구, 고양시, 경기도, 대한민국","relation","12659159",""
"대한민국 경기도 고양시 덕양구 대덕동","OK","37.5904075","126.8522875","대덕동, 덕양구, 고양시, 경기도, 대한민국","relation","12657666",""
"대한민국 경기도 고양시 덕양구 삼송동","OK","37.6518400","126.8897232","삼송동, 삼송1동, 덕양구, 고양시, 경기도, 10589, 대한민국","node","415153677",""
"대한민국 경기도 고양시 덕양구 성사동","OK","37.6549591","126.8465702","성사동, 성사1동, 덕양구, 고양시, 경기도, 10479, 대한민국","node","4908798374",""
"대한민국 경기도 고양시 덕양구 원신동","OK","37.6698003","126.8671701","원신동, 덕양구, 고양시, 경기도, 대한민국","relation","15585865",""
"대한민국 경기도 고양시 덕양구 주교동","OK","37.6600889","126.8268991","주교동, 덕양구, 고양시, 경기도, 대한민국","relation","15585860",""
"대한민국 경기도 고양시 덕양구 창릉동","OK","37.6306469","126.8912180","창릉동, 덕양구, 고양시, 경기도, 대한민국","relation","12657664",""
"대한민국 경기도 고양시 덕양구 행신동","OK","37.6194469","126.8372169","행신동, 행신1동, 덕양구, 고양시, 경기도, 10528, 대한민국","node","4908798378",""
"대한민국 경기도 고양시 덕양구 행주동","OK","37.6098173","126.8171463","행주동, 덕양구, 고양시, 경기도, 대한민국","relation","12659160",""
"대한민국 경기도 고양시 덕양구 화전동","OK","37.6031310","126.8841703","화전동, 덕양구, 고양시, 경기도, 대한민국","relation","12657665",""
"대한민국 경기도 고양시 덕양구 화정동","OK","37.6351667","126.8328241","화정동, 화정1동, 덕양구, 고양시, 경기도, 10497, 대한민국","node","4908798377",""
"대한민국 경기도 고양시 덕양구 효자동","OK","37.6611270","126.9569905","효자동, 덕양구, 고양시, 경기도, 대한민국","relation","12657662",""
"대한민국 경기도 고양시 덕양구 흥도동","OK","37.6313124","126.8620107","흥도동, 덕양구, 고양시, 경기도, 대한민국","relation","15585861",""
"대한민국 경기도 고양시 일산동","OK","37.6844028","126.7690149","일산동, 일산1동, 일산서구, 고양시, 경기도, 10352, 대한민국","node","3830221570",""
"대한민국 경기도 고양시 일산동구 고봉동","OK","37.7096193","126.8092190","고봉동, 일산동구, 고양시, 경기도, 대한민국","relation","15585878",""
"대한민국 경기도 고양시 일산동구 마두동","OK","37.6577703","126.7846924","마두동, 마두2동, 일산동구, 고양시, 경기도, 10411, 대한민국","node","3830221599",""
"대한민국 경기도 고양시 일산동구 백석동","OK","37.6436734","126.7878528","백석동, 백석1동, 일산동구, 고양시, 경기도, 10447, 대한민국","node","4908875423",""
"대한민국 경기도 고양시 일산동구 식사동","OK","37.6778734","126.8133169","식사동, 일산동구, 고양시, 경기도, 대한민국","relation","15585877",""
