"키","적용지역","상위지역","하위지역","상태","위도","경도","표시주소","조회문구"
"계룡|계룡|금암동","계룡","계룡","금암동","NOT_FOUND","","","","충청남도 계룡시 금암동 대한민국"
"계룡|계룡|두마면","계룡","계룡","두마면","NOT_FOUND","","","","충청남도 계룡시 두마면 대한민국"
"계룡|계룡|신도안면","계룡","계룡","신도안면","OK","36.3105869","127.2335476","신도안면, 계룡시, 충청남도, 32801, 대한민국","신도안면 계룡시"
"계룡|계룡|엄사면","계룡","계룡","엄사면","NOT_FOUND","","","","충청남도 계룡시 엄사면 대한민국"
"공주|공주|계룡면","공주","공주","계룡면","NOT_FOUND","","","","충청남도 공주시 계룡면 대한민국"
"공주|공주|금학동","공주","공주","금학동","NOT_FOUND","","","","충청남도 공주시 금학동 대한민국"
"공주|공주|반포면","공주","공주","반포면","NOT_FOUND","","","","충청남도 공주시 반포면 대한민국"
"공주|공주|사곡면","공주","공주","사곡면","OK","36.5359891","127.0324459","사곡면, 공주시, 충청남도, 32522, 대한민국","사곡면 공주시"
"공주|공주|신관동","공주","공주","신관동","NOT_FOUND","","","","충청남도 공주시 신관동 대한민국"
"공주|공주|신풍면","공주","공주","신풍면","NOT_FOUND","","","","충청남도 공주시 신풍면 대한민국"
"공주|공주|옥룡동","공주","공주","옥룡동","NOT_FOUND","","","","충청남도 공주시 옥룡동 대한민국"
"공주|공주|우성면","공주","공주","우성면","OK","36.4695832","127.0506238","우성면, 공주시, 충청남도, 32531, 대한민국","우성면 공주시"
"공주|공주|웅진동","공주","공주","웅진동","OK","36.4591409","127.1095016","충청남도 공주의료원, 무령로, 웅진동, 평목리, 공주시, 충청남도, 32543, 대한민국","충청남도 공주시 웅진동 대한민국"
"공주|공주|월송동","공주","공주","월송동","OK","36.4678541","127.1565737","월송동, 공주시, 충청남도, 32593, 대한민국","월송동 공주시"
"공주|공주|유구읍","공주","공주","유구읍","NOT_FOUND","","","","충청남도 공주시 유구읍 대한민국"
"공주|공주|의당면","공주","공주","의당면","OK","36.5538314","127.1558893","의당면, 공주시, 충청남도, 30050, 대한민국","의당면 공주시"
"공주|공주|이인면","공주","공주","이인면","NOT_FOUND","","","","충청남도 공주시 이인면 대한민국"
"공주|공주|정안면","공주","공주","정안면","NOT_FOUND","","","","충청남도 공주시 정안면 대한민국"
"공주|공주|중학동","공주","공주","중학동","NOT_FOUND","","","","충청남도 공주시 중학동 대한민국"
"공주|공주|탄천면","공주","공주","탄천면","OK","36.3190188","127.0303035","탄천면, 공주시, 충청남도, 32609, 대한민국","탄천면 공주시"
"광주광역시|광산구|도산동","광주광역시","광산구","도산동","NOT_FOUND","","","","광주광역시 광산구 도산동 대한민국"
"광주광역시|광산구|동곡동","광주광역시","광산구","동곡동","NOT_FOUND","","","","광주광역시 광산구 동곡동 대한민국"
"광주광역시|광산구|본량동","광주광역시","광산구","본량동","NOT_FOUND","","","","광주광역시 광산구 본량동 대한민국"
"광주광역시|광산구|비아동","광주광역시","광산구","비아동","OK","35.2096743","126.8152811","광주광역시 경제고용진흥원, 하남산단8번로, 도천동, 비아동, 광산구, 광주, 전남광주통합특별시, 62243, 대한민국","광주광역시 광산구 비아동 대한민국"
"광주광역시|광산구|삼도동","광주광역시","광산구","삼도동","NOT_FOUND","","","","광주광역시 광산구 삼도동 대한민국"
"광주광역시|광산구|송정동","광주광역시","광산구","송정동","NOT_FOUND","","","","광주광역시 광산구 송정동 대한민국"
"광주광역시|광산구|수완동","광주광역시","광산구","수완동","OK","35.1951720","126.8126286","광주광역시 유아교육진흥원, 34, 장덕로, 장덕동, 수완동, 광산구, 광주, 전남광주통합특별시, 62223, 대한민국","광주광역시 광산구 수완동 대한민국"
"광주광역시|광산구|신가동","광주광역시","광산구","신가동","NOT_FOUND","","","","광주광역시 광산구 신가동 대한민국"
"광주광역시|광산구|신창동","광주광역시","광산구","신창동","NOT_FOUND","","","","광주광역시 광산구 신창동 대한민국"
"광주광역시|광산구|신흥동","광주광역시","광산구","신흥동","NOT_FOUND","","","","광주광역시 광산구 신흥동 대한민국"
"광주광역시|광산구|어룡동","광주광역시","광산구","어룡동","NOT_FOUND","","","","광주광역시 광산구 어룡동 대한민국"
"광주광역시|광산구|우산동","광주광역시","광산구","우산동","NOT_FOUND","","","","광주광역시 광산구 우산동 대한민국"
"광주광역시|광산구|운남동","광주광역시","광산구","운남동","NOT_FOUND","","","","광주광역시 광산구 운남동 대한민국"
"광주광역시|광산구|월곡동","광주광역시","광산구","월곡동","NOT_FOUND","","","","광주광역시 광산구 월곡동 대한민국"
"광주광역시|광산구|임곡동","광주광역시","광산구","임곡동","NOT_FOUND","","","","광주광역시 광산구 임곡동 대한민국"
"광주광역시|광산구|첨단동","광주광역시","광산구","첨단동","NOT_FOUND","","","","광주광역시 광산구 첨단동 대한민국"
"광주광역시|광산구|평동","광주광역시","광산구","평동","NOT_FOUND","","","","광주광역시 광산구 평동 대한민국"
"광주광역시|광산구|하남동","광주광역시","광산구","하남동","OK","35.1610881","126.7979901","광주광역시 소방학교, 무진대로, 산정동, 하남동, 광산구, 광주, 전남광주통합특별시, 62383, 대한민국","광주광역시 광산구 하남동 대한민국"
"광주광역시|남구|대촌동","광주광역시","남구","대촌동","NOT_FOUND","","","","광주광역시 남구 대촌동 대한민국"
"광주광역시|남구|방림동","광주광역시","남구","방림동","NOT_FOUND","","","","광주광역시 남구 방림동 대한민국"
"광주광역시|남구|백운동","광주광역시","남구","백운동","NOT_FOUND","","","","광주광역시 남구 백운동 대한민국"
"광주광역시|남구|봉선동","광주광역시","남구","봉선동","NOT_FOUND","","","","광주광역시 남구 봉선동 대한민국"
"광주광역시|남구|사직동","광주광역시","남구","사직동","NOT_FOUND","","","","광주광역시 남구 사직동 대한민국"
"광주광역시|남구|송암동","광주광역시","남구","송암동","NOT_FOUND","","","","광주광역시 남구 송암동 대한민국"
"광주광역시|남구|양림동","광주광역시","남구","양림동","NOT_FOUND","","","","광주광역시 남구 양림동 대한민국"
"광주광역시|남구|월산동","광주광역시","남구","월산동","OK","35.1413169","126.8999613","광주광역시 남구 장애인복지관, 월산로, 월산동, 남구, 광주, 전남광주통합특별시, 61649, 대한민국","광주광역시 남구 월산동 대한민국"
"광주광역시|남구|주월동","광주광역시","남구","주월동","NOT_FOUND","","","","광주광역시 남구 주월동 대한민국"
"광주광역시|남구|진월동","광주광역시","남구","진월동","NOT_FOUND","","","","광주광역시 남구 진월동 대한민국"
"광주광역시|남구|효덕동","광주광역시","남구","효덕동","NOT_FOUND","","","","광주광역시 남구 효덕동 대한민국"
"광주광역시|동구|계림동","광주광역시","동구","계림동","NOT_FOUND","","","","광주광역시 동구 계림동 대한민국"
"광주광역시|동구|동명동","광주광역시","동구","동명동","NOT_FOUND","","","","광주광역시 동구 동명동 대한민국"
"광주광역시|동구|산수동","광주광역시","동구","산수동","NOT_FOUND","","","","광주광역시 동구 산수동 대한민국"
"광주광역시|동구|서남동","광주광역시","동구","서남동","NOT_FOUND","","","","광주광역시 동구 서남동 대한민국"
"광주광역시|동구|지산동","광주광역시","동구","지산동","NOT_FOUND","","","","광주광역시 동구 지산동 대한민국"
"광주광역시|동구|지원동","광주광역시","동구","지원동","NOT_FOUND","","","","광주광역시 동구 지원동 대한민국"
"광주광역시|동구|충장동","광주광역시","동구","충장동","NOT_FOUND","","","","광주광역시 동구 충장동 대한민국"
"광주광역시|동구|학동","광주광역시","동구","학동","NOT_FOUND","","","","광주광역시 동구 학동 대한민국"
"광주광역시|동구|학운동","광주광역시","동구","학운동","NOT_FOUND","","","","광주광역시 동구 학운동 대한민국"
