"업체명","적용지역","광역지역","상위지역","하위지역","대표역","대표역주소","역노선","위치표시","주소표시","역선정방식","역거리km","계산상가까운역","계산거리km"
"","경기","경기","가평군","가평읍","가평역","경기도 가평군 가평읍 문화로 13-42(달전리 567)","경춘선","가평역 인근","경기도 가평군 가평읍 문화로 13-42(달전리 567)","좌표최단거리","1.31","가평역","1.31"
"","경기","경기","가평군","북면","","","","북면 중심","경기 가평군 북면","지역중심","","굴봉산역","11.29"
"","경기","경기","가평군","상면","","","","상면 중심","경기 가평군 상면","지역중심","","청평역","10.03"
"","경기","경기","가평군","설악면","","","","설악면 중심","경기 가평군 설악면","지역중심","","청평역","10.98"
"","경기","경기","가평군","조종면","","","","조종면 중심","경기 가평군 조종면","지역중심","","상천역","11.86"
"","경기","경기","가평군","청평면","청평역","경기도 가평군 청평면 청평역로 97-33(청평리 125-1)","경춘선","청평역 인근","경기도 가평군 청평면 청평역로 97-33(청평리 125-1)","좌표최단거리","1.09","청평역","1.09"
"","경기","경기","고양시","일산동","일산역","경기도 고양시 일산서구 경의로 672","경의중앙선","일산역 인근","경기도 고양시 일산서구 경의로 672","좌표최단거리","0.25","일산역","0.25"
"","경기","경기","고양시-덕양구","고양동","삼송역","경기도 고양시 덕양구 삼송로 194","일산선","삼송역 인근","경기도 고양시 덕양구 삼송로 194","좌표최단거리","6.23","삼송역","6.23"
"","경기","경기","고양시-덕양구","관산동","원당역","경기도 고양시 덕양구 덕양대로 1429(성사1동 4100-7)","일산선","원당역 인근","경기도 고양시 덕양구 덕양대로 1429(성사1동 4100-7)","좌표최단거리","5.26","원당역","5.26"
"","경기","경기","고양시-덕양구","능곡동","대곡역","경기도 고양시 덕양구 대주로 107번길 71-81(대장동 420-1)","서해선","대곡역 인근","경기도 고양시 덕양구 대주로 107번길 71-81(대장동 420-1)","좌표최단거리","0.60","대곡역","0.60"
"","경기","경기","고양시-덕양구","대덕동","한국항공대역","경기도 고양시 덕양구 화랑로 53(화전동 183-10)","경의중앙선","한국항공대역 인근","경기도 고양시 덕양구 화랑로 53(화전동 183-10)","좌표최단거리","2.00","한국항공대역","2.00"
"","경기","경기","고양시-덕양구","삼송동","삼송역","경기도 고양시 덕양구 삼송로 194","일산선","삼송역 인근","경기도 고양시 덕양구 삼송로 194","좌표최단거리","0.53","삼송역","0.53"
"","경기","경기","고양시-덕양구","성사동","원당역","경기도 고양시 덕양구 덕양대로 1429(성사1동 4100-7)","일산선","원당역 인근","경기도 고양시 덕양구 덕양대로 1429(성사1동 4100-7)","좌표최단거리","0.38","원당역","0.38"
"","경기","경기","고양시-덕양구","원신동","원흥역","경기도 고양시 덕양구 권율대로 681 (원흥동, 원흥역) 원흥역","일산선","원흥역 인근","경기도 고양시 덕양구 권율대로 681 (원흥동, 원흥역) 원흥역","좌표최단거리","2.19","원흥역","2.19"
"","경기","경기","고양시-덕양구","주교동","원당역","경기도 고양시 덕양구 덕양대로 1429(성사1동 4100-7)","일산선","원당역 인근","경기도 고양시 덕양구 덕양대로 1429(성사1동 4100-7)","좌표최단거리","1.61","원당역","1.61"
"","경기","경기","고양시-덕양구","창릉동","구파발역","서울특별시 은평구 진관2로 지하15-25 (진관동)","3호선","구파발역 인근","서울특별시 은평구 진관2로 지하15-25 (진관동)","좌표최단거리","2.52","구파발역","2.52"
"","경기","경기","고양시-덕양구","행신동","행신역","경기도 고양시 덕양구 행신동 충경로 124번지(행신2동 812)","경의중앙선","행신역 인근","경기도 고양시 덕양구 행신동 충경로 124번지(행신2동 812)","좌표최단거리","0.86","행신역","0.86"
"","경기","경기","고양시-덕양구","행주동","능곡역","경기도 고양시 덕양구 토당로 35(토당동 454-3)","서해선","능곡역 인근","경기도 고양시 덕양구 토당로 35(토당동 454-3)","좌표최단거리","1.04","능곡역","1.04"
"","경기","경기","고양시-덕양구","화전동","한국항공대역","경기도 고양시 덕양구 화랑로 53(화전동 183-10)","경의중앙선","한국항공대역 인근","경기도 고양시 덕양구 화랑로 53(화전동 183-10)","좌표최단거리","1.40","한국항공대역","1.40"
"","경기","경기","고양시-덕양구","화정동","화정역","경기도 고양시 덕양구 화정로 60 화정역","일산선","화정역 인근","경기도 고양시 덕양구 화정로 60 화정역","좌표최단거리","0.06","화정역","0.06"
"","경기","경기","고양시-덕양구","효자동","지축역","경기도 고양시 덕양구 삼송로 300(지축동)","3호선","지축역 인근","경기도 고양시 덕양구 삼송로 300(지축동)","좌표최단거리","4.07","지축역","4.07"
"","경기","경기","고양시-덕양구","흥도동","원흥역","경기도 고양시 덕양구 권율대로 681 (원흥동, 원흥역) 원흥역","일산선","원흥역 인근","경기도 고양시 덕양구 권율대로 681 (원흥동, 원흥역) 원흥역","좌표최단거리","2.37","원흥역","2.37"
"","경기","경기","고양시-일산동구","고봉동","운정역","경기도 파주시 운정역길 368(야당동 299-4번지)","경의중앙선","운정역 인근","경기도 파주시 운정역길 368(야당동 299-4번지)","좌표최단거리","4.10","운정역","4.10"
"","경기","경기","고양시-일산동구","마두동","백마역","경기도 고양시 일산동구 경의로 318(풍동 482-8)","경의중앙선","백마역 인근","경기도 고양시 일산동구 경의로 318(풍동 482-8)","좌표최단거리","0.86","백마역","0.86"
"","경기","경기","고양시-일산동구","백석동","백석역","경기도 고양시 일산동구 중앙로 1042","일산선","백석역 인근","경기도 고양시 일산동구 중앙로 1042","좌표최단거리","0.08","백석역","0.08"
"","경기","경기","고양시-일산동구","식사동","풍산역","경기도 고양시 일산동구 경의로 486(풍동)","경의중앙선","풍산역 인근","경기도 고양시 일산동구 경의로 486(풍동)","좌표최단거리","2.46","풍산역","2.46"
"","경기","경기","고양시-일산동구","장항동","마두역","경기도 고양시 일산동구 중앙로 지하 1180(마두동)","일산선","마두역 인근","경기도 고양시 일산동구 중앙로 지하 1180(마두동)","좌표최단거리","1.12","마두역","1.12"
"","경기","경기","고양시-일산동구","정발산동","풍산역","경기도 고양시 일산동구 경의로 486(풍동)","경의중앙선","풍산역 인근","경기도 고양시 일산동구 경의로 486(풍동)","좌표최단거리","0.64","풍산역","0.64"
"","경기","경기","고양시-일산동구","중산동","일산역","경기도 고양시 일산서구 경의로 672","경의중앙선","일산역 인근","경기도 고양시 일산서구 경의로 672","좌표최단거리","1.30","일산역","1.30"
"","경기","경기","고양시-일산동구","풍산동","백마역","경기도 고양시 일산동구 경의로 318(풍동 482-8)","경의중앙선","백마역 인근","경기도 고양시 일산동구 경의로 318(풍동 482-8)","좌표최단거리","0.88","백마역","0.88"
"","경기","경기","고양시-일산서구","가좌동","운양역","경기도 김포시 김포한강1로 지하 235","김포도시철도","운양역 인근","경기도 김포시 김포한강1로 지하 235","좌표최단거리","3.63","운양역","3.63"
