"업체명","적용지역","광역지역","상위지역","하위지역"
"한국미인테라피","경기","경기","가평군","가평읍"
"한국미인테라피","경기","경기","가평군","북면"
"한국미인테라피","경기","경기","가평군","상면"
"한국미인테라피","경기","경기","가평군","설악면"
"한국미인테라피","경기","경기","가평군","조종면"
"한국미인테라피","경기","경기","가평군","청평면"
"한국미인테라피","경기","경기","고양시","일산동"
"한국미인테라피","경기","경기","고양시-덕양구","고양동"
"한국미인테라피","경기","경기","고양시-덕양구","관산동"
"한국미인테라피","경기","경기","고양시-덕양구","능곡동"
"한국미인테라피","경기","경기","고양시-덕양구","대덕동"
"한국미인테라피","경기","경기","고양시-덕양구","삼송동"
"한국미인테라피","경기","경기","고양시-덕양구","성사동"
"한국미인테라피","경기","경기","고양시-덕양구","원신동"
"한국미인테라피","경기","경기","고양시-덕양구","주교동"
"한국미인테라피","경기","경기","고양시-덕양구","창릉동"
"한국미인테라피","경기","경기","고양시-덕양구","행신동"
"한국미인테라피","경기","경기","고양시-덕양구","행주동"
"한국미인테라피","경기","경기","고양시-덕양구","화전동"
"한국미인테라피","경기","경기","고양시-덕양구","화정동"
"한국미인테라피","경기","경기","고양시-덕양구","효자동"
"한국미인테라피","경기","경기","고양시-덕양구","흥도동"
"한국미인테라피","경기","경기","고양시-일산동구","고봉동"
"한국미인테라피","경기","경기","고양시-일산동구","마두동"
"한국미인테라피","경기","경기","고양시-일산동구","백석동"
"한국미인테라피","경기","경기","고양시-일산동구","식사동"
"한국미인테라피","경기","경기","고양시-일산동구","장항동"
"한국미인테라피","경기","경기","고양시-일산동구","정발산동"
"한국미인테라피","경기","경기","고양시-일산동구","중산동"
"한국미인테라피","경기","경기","고양시-일산동구","풍산동"
"한국미인테라피","경기","경기","고양시-일산서구","가좌동"
"한국미인테라피","경기","경기","고양시-일산서구","대화동"
"한국미인테라피","경기","경기","고양시-일산서구","덕이동"
"한국미인테라피","경기","경기","고양시-일산서구","송포동"
"한국미인테라피","경기","경기","고양시-일산서구","일산동"
"한국미인테라피","경기","경기","고양시-일산서구","주엽동"
"한국미인테라피","경기","경기","고양시-일산서구","탄현동"
"한국미인테라피","경기","경기","과천시","갈현동"
"한국미인테라피","경기","경기","과천시","과천동"
"한국미인테라피","경기","경기","과천시","문원동"
"한국미인테라피","경기","경기","과천시","별양동"
"한국미인테라피","경기","경기","과천시","부림동"
"한국미인테라피","경기","경기","과천시","원문동"
"한국미인테라피","경기","경기","과천시","중앙동"
"한국미인테라피","경기","경기","광명시","광명동"
"한국미인테라피","경기","경기","광명시","소하동"
"한국미인테라피","경기","경기","광명시","일직동"
"한국미인테라피","경기","경기","광명시","철산동"
"한국미인테라피","경기","경기","광명시","하안동"
"한국미인테라피","경기","경기","광명시","학온동"
"한국미인테라피","경기","경기","광주시","경안동"
"한국미인테라피","경기","경기","광주시","곤지암읍"
"한국미인테라피","경기","경기","광주시","광남동"
"한국미인테라피","경기","경기","광주시","남종면"
"한국미인테라피","경기","경기","광주시","남한산성면"
"한국미인테라피","경기","경기","광주시","능평동"
"한국미인테라피","경기","경기","광주시","도척면"
"한국미인테라피","경기","경기","광주시","송정동"
"한국미인테라피","경기","경기","광주시","신현동"
"한국미인테라피","경기","경기","광주시","쌍령동"
"한국미인테라피","경기","경기","광주시","오포동"
"한국미인테라피","경기","경기","광주시","초월읍"
"한국미인테라피","경기","경기","광주시","탄벌동"
"한국미인테라피","경기","경기","광주시","퇴촌면"
"한국미인테라피","경기","경기","구리시","갈매동"
"한국미인테라피","경기","경기","구리시","교문동"
"한국미인테라피","경기","경기","구리시","동구동"
"한국미인테라피","경기","경기","구리시","수택동"
"한국미인테라피","경기","경기","구리시","인창동"
"한국미인테라피","경기","경기","군포시","광정동"
"한국미인테라피","경기","경기","군포시","군포동"
"한국미인테라피","경기","경기","군포시","궁내동"
"한국미인테라피","경기","경기","군포시","금정동"
"한국미인테라피","경기","경기","군포시","대야동"
"한국미인테라피","경기","경기","군포시","산본동"
"한국미인테라피","경기","경기","군포시","송부동"
"한국미인테라피","경기","경기","군포시","수리동"
"한국미인테라피","경기","경기","군포시","오금동"
"한국미인테라피","경기","경기","군포시","재궁동"
"한국미인테라피","경기","경기","김포시","고촌읍"
"한국미인테라피","경기","경기","김포시","구래동"
"한국미인테라피","경기","경기","김포시","김포본동"
"한국미인테라피","경기","경기","김포시","대곶면"
"한국미인테라피","경기","경기","김포시","마산동"
"한국미인테라피","경기","경기","김포시","사우동"
"한국미인테라피","경기","경기","김포시","양촌읍"
"한국미인테라피","경기","경기","김포시","운양동"
"한국미인테라피","경기","경기","김포시","월곶면"
"한국미인테라피","경기","경기","김포시","장기동"
"한국미인테라피","경기","경기","김포시","장기본동"
"한국미인테라피","경기","경기","김포시","통진읍"
"한국미인테라피","경기","경기","김포시","풍무동"
"한국미인테라피","경기","경기","김포시","하성면"
"한국미인테라피","경기","경기","남양주시","금곡동"
"한국미인테라피","경기","경기","남양주시","다산동"
"한국미인테라피","경기","경기","남양주시","별내동"
"한국미인테라피","경기","경기","남양주시","별내면"
"한국미인테라피","경기","경기","남양주시","수동면"
"한국미인테라피","경기","경기","남양주시","양정동"
"한국미인테라피","경기","경기","남양주시","오남읍"
"한국미인테라피","경기","경기","남양주시","와부읍"
"한국미인테라피","경기","경기","남양주시","조안면"
"한국미인테라피","경기","경기","남양주시","진건읍"
"한국미인테라피","경기","경기","남양주시","진접읍"
"한국미인테라피","경기","경기","남양주시","퇴계원읍"
"한국미인테라피","경기","경기","남양주시","평내동"
"한국미인테라피","경기","경기","남양주시","호평동"
"한국미인테라피","경기","경기","남양주시","화도읍"
"한국미인테라피","경기","경기","동두천시","보산동"
"한국미인테라피","경기","경기","동두천시","불현동"
"한국미인테라피","경기","경기","동두천시","상패동"
"한국미인테라피","경기","경기","동두천시","생연동"
"한국미인테라피","경기","경기","동두천시","소요동"
"한국미인테라피","경기","경기","동두천시","송내동"
"한국미인테라피","경기","경기","동두천시","중앙동"
"한국미인테라피","경기","경기","부천시-소사구","괴안동"
"한국미인테라피","경기","경기","부천시-소사구","범박동"
"한국미인테라피","경기","경기","부천시-소사구","소사본동"
"한국미인테라피","경기","경기","부천시-소사구","송내동"
"한국미인테라피","경기","경기","부천시-소사구","심곡본동"
"한국미인테라피","경기","경기","부천시-소사구","역곡동"
"한국미인테라피","경기","경기","부천시-소사구","옥길동"
"한국미인테라피","경기","경기","부천시-오정구","고강동"
"한국미인테라피","경기","경기","부천시-오정구","고강본동"
"한국미인테라피","경기","경기","부천시-오정구","성곡동"
"한국미인테라피","경기","경기","부천시-오정구","신흥동"
"한국미인테라피","경기","경기","부천시-오정구","오정동"
"한국미인테라피","경기","경기","부천시-오정구","원종동"
"한국미인테라피","경기","경기","부천시-원미구","도당동"
"한국미인테라피","경기","경기","부천시-원미구","상동"
"한국미인테라피","경기","경기","부천시-원미구","소사동"
"한국미인테라피","경기","경기","부천시-원미구","심곡동"
"한국미인테라피","경기","경기","부천시-원미구","약대동"
