"업체명","적용지역","광역지역","상위지역","하위지역","검색문구","위도","경도","지오코딩상태","검색결과주소"
"한국미인테라피","경기","경기","가평군","가평읍","대한민국 경기도 가평군 가평읍","37.8253380","127.5166062","OK","가평읍, 가평군, 경기도, 대한민국"
"한국미인테라피","경기","경기","가평군","북면","대한민국 경기도 가평군 북면","37.9266500","127.5109300","OK","북면, 가평군, 경기도, 대한민국"
"한국미인테라피","경기","경기","가평군","상면","대한민국 경기도 가평군 상면","37.7937800","127.3394400","OK","상면, 가평군, 경기도, 대한민국"
"한국미인테라피","경기","경기","가평군","설악면","대한민국 경기도 가평군 설악면","37.6575000","127.5031000","OK","설악면, 가평군, 경기도, 대한민국"
"한국미인테라피","경기","경기","가평군","조종면","대한민국 경기도 가평군 조종면","37.8485770","127.3625446","OK","조종면, 가평군, 경기도, 대한민국"
"한국미인테라피","경기","경기","가평군","청평면","대한민국 경기도 가평군 청평면","37.7256797","127.4264583","OK","청평면, 가평군, 경기도, 대한민국"
"한국미인테라피","경기","경기","고양시","일산동","대한민국 경기도 고양시 일산동","37.6844028","126.7690149","OK","일산동, 일산1동, 일산서구, 고양시, 경기도, 10352, 대한민국"
"한국미인테라피","경기","경기","고양시-덕양구","고양동","대한민국 경기도 고양시 덕양구 고양동","37.7090099","126.8997941","OK","고양동, 덕양구, 고양시, 경기도, 대한민국"
"한국미인테라피","경기","경기","고양시-덕양구","관산동","대한민국 경기도 고양시 덕양구 관산동","37.6980373","126.8616018","OK","관산동, 덕양구, 고양시, 경기도, 대한민국"
"한국미인테라피","경기","경기","고양시-덕양구","능곡동","대한민국 경기도 고양시 덕양구 능곡동","37.6266625","126.8070727","OK","능곡동, 덕양구, 고양시, 경기도, 대한민국"
"한국미인테라피","경기","경기","고양시-덕양구","대덕동","대한민국 경기도 고양시 덕양구 대덕동","37.5904075","126.8522875","OK","대덕동, 덕양구, 고양시, 경기도, 대한민국"
"한국미인테라피","경기","경기","고양시-덕양구","삼송동","대한민국 경기도 고양시 덕양구 삼송동","37.6518400","126.8897232","OK","삼송동, 삼송1동, 덕양구, 고양시, 경기도, 10589, 대한민국"
"한국미인테라피","경기","경기","고양시-덕양구","성사동","대한민국 경기도 고양시 덕양구 성사동","37.6549591","126.8465702","OK","성사동, 성사1동, 덕양구, 고양시, 경기도, 10479, 대한민국"
"한국미인테라피","경기","경기","고양시-덕양구","원신동","대한민국 경기도 고양시 덕양구 원신동","37.6698003","126.8671701","OK","원신동, 덕양구, 고양시, 경기도, 대한민국"
"한국미인테라피","경기","경기","고양시-덕양구","주교동","대한민국 경기도 고양시 덕양구 주교동","37.6600889","126.8268991","OK","주교동, 덕양구, 고양시, 경기도, 대한민국"
"한국미인테라피","경기","경기","고양시-덕양구","창릉동","대한민국 경기도 고양시 덕양구 창릉동","37.6306469","126.8912180","OK","창릉동, 덕양구, 고양시, 경기도, 대한민국"
"한국미인테라피","경기","경기","고양시-덕양구","행신동","대한민국 경기도 고양시 덕양구 행신동","37.6194469","126.8372169","OK","행신동, 행신1동, 덕양구, 고양시, 경기도, 10528, 대한민국"
"한국미인테라피","경기","경기","고양시-덕양구","행주동","대한민국 경기도 고양시 덕양구 행주동","37.6098173","126.8171463","OK","행주동, 덕양구, 고양시, 경기도, 대한민국"
"한국미인테라피","경기","경기","고양시-덕양구","화전동","대한민국 경기도 고양시 덕양구 화전동","37.6031310","126.8841703","OK","화전동, 덕양구, 고양시, 경기도, 대한민국"
"한국미인테라피","경기","경기","고양시-덕양구","화정동","대한민국 경기도 고양시 덕양구 화정동","37.6351667","126.8328241","OK","화정동, 화정1동, 덕양구, 고양시, 경기도, 10497, 대한민국"
"한국미인테라피","경기","경기","고양시-덕양구","효자동","대한민국 경기도 고양시 덕양구 효자동","37.6611270","126.9569905","OK","효자동, 덕양구, 고양시, 경기도, 대한민국"
"한국미인테라피","경기","경기","고양시-덕양구","흥도동","대한민국 경기도 고양시 덕양구 흥도동","37.6313124","126.8620107","OK","흥도동, 덕양구, 고양시, 경기도, 대한민국"
"한국미인테라피","경기","경기","고양시-일산동구","고봉동","대한민국 경기도 고양시 일산동구 고봉동","37.7096193","126.8092190","OK","고봉동, 일산동구, 고양시, 경기도, 대한민국"
"한국미인테라피","경기","경기","고양시-일산동구","마두동","대한민국 경기도 고양시 일산동구 마두동","37.6577703","126.7846924","OK","마두동, 마두2동, 일산동구, 고양시, 경기도, 10411, 대한민국"
"한국미인테라피","경기","경기","고양시-일산동구","백석동","대한민국 경기도 고양시 일산동구 백석동","37.6436734","126.7878528","OK","백석동, 백석1동, 일산동구, 고양시, 경기도, 10447, 대한민국"
"한국미인테라피","경기","경기","고양시-일산동구","식사동","대한민국 경기도 고양시 일산동구 식사동","37.6778734","126.8133169","OK","식사동, 일산동구, 고양시, 경기도, 대한민국"
"한국미인테라피","경기","경기","고양시-일산동구","장항동","대한민국 경기도 고양시 일산동구 장항동","37.6495000","126.7653867","OK","장항동, 장항1동, 일산동구, 고양시, 경기도, 10429, 대한민국"
"한국미인테라피","경기","경기","고양시-일산동구","정발산동","대한민국 경기도 고양시 일산동구 정발산동","37.6706405","126.7793564","OK","정발산동, 일산동구, 고양시, 경기도, 대한민국"
"한국미인테라피","경기","경기","고양시-일산동구","중산동","대한민국 경기도 고양시 일산동구 중산동","37.6901545","126.7804306","OK","중산동, 중산1동, 일산동구, 고양시, 경기도, 10333, 대한민국"
"한국미인테라피","경기","경기","고양시-일산동구","풍산동","대한민국 경기도 고양시 일산동구 풍산동","37.6641595","126.8011521","OK","풍산동, 일산동구, 고양시, 경기도, 대한민국"
"한국미인테라피","경기","경기","고양시-일산서구","가좌동","대한민국 경기도 고양시 일산서구 가좌동","37.6839540","126.6997268","OK","가좌동, 일산서구, 고양시, 경기도, 대한민국"
"한국미인테라피","경기","경기","고양시-일산서구","대화동","대한민국 경기도 고양시 일산서구 대화동","37.6777329","126.7502918","OK","대화동, 일산서구, 고양시, 경기도, 대한민국"
"한국미인테라피","경기","경기","고양시-일산서구","덕이동","대한민국 경기도 고양시 일산서구 덕이동","37.6957279","126.7448226","OK","덕이동, 일산서구, 고양시, 경기도, 대한민국"
"한국미인테라피","경기","경기","고양시-일산서구","송포동","대한민국 경기도 고양시 일산서구 송포동","37.6691138","126.7174631","OK","송포동, 일산서구, 고양시, 경기도, 대한민국"
"한국미인테라피","경기","경기","고양시-일산서구","일산동","대한민국 경기도 고양시 일산서구 일산동","37.6844028","126.7690149","OK","일산동, 일산1동, 일산서구, 고양시, 경기도, 10352, 대한민국"
"한국미인테라피","경기","경기","고양시-일산서구","주엽동","대한민국 경기도 고양시 일산서구 주엽동","37.6712292","126.7618004","OK","주엽동, 주엽2동, 일산서구, 고양시, 경기도, 10388, 대한민국"
"한국미인테라피","경기","경기","고양시-일산서구","탄현동","대한민국 경기도 고양시 일산서구 탄현동","","","NOT_FOUND",""
"한국미인테라피","경기","경기","과천시","갈현동","대한민국 경기도 과천시 갈현동","37.4149075","126.9824277","OK","갈현동, 과천시, 경기도, 13840, 대한민국"
"한국미인테라피","경기","경기","과천시","과천동","대한민국 경기도 과천시 과천동","37.4497001","127.0008925","OK","과천동, 과천시, 경기도, 13815, 대한민국"
"한국미인테라피","경기","경기","과천시","문원동","대한민국 경기도 과천시 문원동","37.4210755","127.0012297","OK","문원동, 과천시, 경기도, 13834, 대한민국"
"한국미인테라피","경기","경기","과천시","별양동","대한민국 경기도 과천시 별양동","37.4276861","126.9958682","OK","별양동, 과천시, 경기도, 13834, 대한민국"
"한국미인테라피","경기","경기","과천시","부림동","대한민국 경기도 과천시 부림동","37.4348254","126.9984635","OK","부림동, 과천시, 경기도, 13831, 대한민국"
"한국미인테라피","경기","경기","과천시","원문동","대한민국 경기도 과천시 원문동","37.4222641","126.9914257","OK","원문동, 과천시, 경기도, 13839, 대한민국"
"한국미인테라피","경기","경기","과천시","중앙동","대한민국 경기도 과천시 중앙동","37.4288386","126.9891084","OK","중앙동, 과천시, 경기도, 13806, 대한민국"
