"업체명","적용지역","광역지역","상위지역","하위지역","대표역","대표역주소","위치표시","주소표시","역거리km","역사용여부","계산상가까운역"
"한국미인테라피","경기","경기","가평군","가평읍","가평역","경기도 가평군 가평읍 문화로 13-42(달전리 567)","가평역 인근","경기도 가평군 가평읍 문화로 13-42(달전리 567)","1.31","Y","가평역"
"한국미인테라피","경기","경기","가평군","북면","","","북면 중심","경기 가평군 북면","11.29","N","굴봉산역"
"한국미인테라피","경기","경기","가평군","상면","","","상면 중심","경기 가평군 상면","10.03","N","청평역"
"한국미인테라피","경기","경기","가평군","설악면","","","설악면 중심","경기 가평군 설악면","10.98","N","청평역"
"한국미인테라피","경기","경기","가평군","조종면","","","조종면 중심","경기 가평군 조종면","11.86","N","상천역"
"한국미인테라피","경기","경기","가평군","청평면","청평역","경기도 가평군 청평면 청평역로 97-33(청평리 125-1)","청평역 인근","경기도 가평군 청평면 청평역로 97-33(청평리 125-1)","1.09","Y","청평역"
"한국미인테라피","경기","경기","고양시","일산동","일산역","경기도 고양시 일산서구 경의로 672","일산역 인근","경기도 고양시 일산서구 경의로 672","0.25","Y","일산역"
"한국미인테라피","경기","경기","고양시-덕양구","고양동","삼송역","경기도 고양시 덕양구 삼송로 194","삼송역 인근","경기도 고양시 덕양구 삼송로 194","6.23","Y","삼송역"
"한국미인테라피","경기","경기","고양시-덕양구","관산동","원당역","경기도 고양시 덕양구 덕양대로 1429(성사1동 4100-7)","원당역 인근","경기도 고양시 덕양구 덕양대로 1429(성사1동 4100-7)","5.26","Y","원당역"
"한국미인테라피","경기","경기","고양시-덕양구","능곡동","대곡역","경기도 고양시 덕양구 대주로 107번길 71-81(대장동 420-1)","대곡역 인근","경기도 고양시 덕양구 대주로 107번길 71-81(대장동 420-1)","0.60","Y","대곡역"
"한국미인테라피","경기","경기","고양시-덕양구","대덕동","한국항공대역","경기도 고양시 덕양구 화랑로 53(화전동 183-10)","한국항공대역 인근","경기도 고양시 덕양구 화랑로 53(화전동 183-10)","2.00","Y","한국항공대역"
"한국미인테라피","경기","경기","고양시-덕양구","삼송동","삼송역","경기도 고양시 덕양구 삼송로 194","삼송역 인근","경기도 고양시 덕양구 삼송로 194","0.53","Y","삼송역"
"한국미인테라피","경기","경기","고양시-덕양구","성사동","원당역","경기도 고양시 덕양구 덕양대로 1429(성사1동 4100-7)","원당역 인근","경기도 고양시 덕양구 덕양대로 1429(성사1동 4100-7)","0.38","Y","원당역"
"한국미인테라피","경기","경기","고양시-덕양구","원신동","원흥역","경기도 고양시 덕양구 권율대로 681 (원흥동, 원흥역) 원흥역","원흥역 인근","경기도 고양시 덕양구 권율대로 681 (원흥동, 원흥역) 원흥역","2.19","Y","원흥역"
"한국미인테라피","경기","경기","고양시-덕양구","주교동","원당역","경기도 고양시 덕양구 덕양대로 1429(성사1동 4100-7)","원당역 인근","경기도 고양시 덕양구 덕양대로 1429(성사1동 4100-7)","1.61","Y","원당역"
"한국미인테라피","경기","경기","고양시-덕양구","창릉동","구파발역","서울특별시 은평구 진관2로 지하15-25 (진관동)","구파발역 인근","서울특별시 은평구 진관2로 지하15-25 (진관동)","2.52","Y","구파발역"
"한국미인테라피","경기","경기","고양시-덕양구","행신동","행신역","경기도 고양시 덕양구 행신동 충경로 124번지(행신2동 812)","행신역 인근","경기도 고양시 덕양구 행신동 충경로 124번지(행신2동 812)","0.86","Y","행신역"
"한국미인테라피","경기","경기","고양시-덕양구","행주동","능곡역","경기도 고양시 덕양구 토당로 35(토당동 454-3)","능곡역 인근","경기도 고양시 덕양구 토당로 35(토당동 454-3)","1.04","Y","능곡역"
"한국미인테라피","경기","경기","고양시-덕양구","화전동","한국항공대역","경기도 고양시 덕양구 화랑로 53(화전동 183-10)","한국항공대역 인근","경기도 고양시 덕양구 화랑로 53(화전동 183-10)","1.40","Y","한국항공대역"
"한국미인테라피","경기","경기","고양시-덕양구","화정동","화정역","경기도 고양시 덕양구 화정로 60 화정역","화정역 인근","경기도 고양시 덕양구 화정로 60 화정역","0.06","Y","화정역"
"한국미인테라피","경기","경기","고양시-덕양구","효자동","지축역","경기도 고양시 덕양구 삼송로 300(지축동)","지축역 인근","경기도 고양시 덕양구 삼송로 300(지축동)","4.07","Y","지축역"
"한국미인테라피","경기","경기","고양시-덕양구","흥도동","원흥역","경기도 고양시 덕양구 권율대로 681 (원흥동, 원흥역) 원흥역","원흥역 인근","경기도 고양시 덕양구 권율대로 681 (원흥동, 원흥역) 원흥역","2.37","Y","원흥역"
"한국미인테라피","경기","경기","고양시-일산동구","고봉동","운정역","경기도 파주시 운정역길 368(야당동 299-4번지)","운정역 인근","경기도 파주시 운정역길 368(야당동 299-4번지)","4.10","Y","운정역"
"한국미인테라피","경기","경기","고양시-일산동구","마두동","백마역","경기도 고양시 일산동구 경의로 318(풍동 482-8)","백마역 인근","경기도 고양시 일산동구 경의로 318(풍동 482-8)","0.86","Y","백마역"
"한국미인테라피","경기","경기","고양시-일산동구","백석동","백석역","경기도 고양시 일산동구 중앙로 1042","백석역 인근","경기도 고양시 일산동구 중앙로 1042","0.08","Y","백석역"
"한국미인테라피","경기","경기","고양시-일산동구","식사동","풍산역","경기도 고양시 일산동구 경의로 486(풍동)","풍산역 인근","경기도 고양시 일산동구 경의로 486(풍동)","2.46","Y","풍산역"
"한국미인테라피","경기","경기","고양시-일산동구","장항동","마두역","경기도 고양시 일산동구 중앙로 지하 1180(마두동)","마두역 인근","경기도 고양시 일산동구 중앙로 지하 1180(마두동)","1.12","Y","마두역"
"한국미인테라피","경기","경기","고양시-일산동구","정발산동","풍산역","경기도 고양시 일산동구 경의로 486(풍동)","풍산역 인근","경기도 고양시 일산동구 경의로 486(풍동)","0.64","Y","풍산역"
"한국미인테라피","경기","경기","고양시-일산동구","중산동","일산역","경기도 고양시 일산서구 경의로 672","일산역 인근","경기도 고양시 일산서구 경의로 672","1.30","Y","일산역"
