"업체명","적용지역","광역지역","상위지역","하위지역","지역위도","지역경도","지오코딩상태","대표역","역노선","역운영기관","역도로명주소","역거리km","검토필요","검색결과주소"
"한국미인테라피","경기","경기","가평군","가평읍","37.8253380","127.5166062","OK","가평역","경춘선","한국철도공사","경기도 가평군 가평읍 문화로 13-42(달전리 567)","1.31","","가평읍, 가평군, 경기도, 대한민국"
"한국미인테라피","경기","경기","가평군","북면","37.9266500","127.5109300","OK","굴봉산역","경춘선","한국철도공사","강원도 춘천시 남산면 서백길 192(백양리 588-30)","11.29","8km초과","북면, 가평군, 경기도, 대한민국"
"한국미인테라피","경기","경기","가평군","상면","37.7937800","127.3394400","OK","청평역","경춘선","한국철도공사","경기도 가평군 청평면 청평역로 97-33(청평리 125-1)","10.03","8km초과","상면, 가평군, 경기도, 대한민국"
"한국미인테라피","경기","경기","가평군","설악면","37.6575000","127.5031000","OK","청평역","경춘선","한국철도공사","경기도 가평군 청평면 청평역로 97-33(청평리 125-1)","10.98","8km초과","설악면, 가평군, 경기도, 대한민국"
"한국미인테라피","경기","경기","가평군","조종면","37.8485770","127.3625446","OK","상천역","경춘선","한국철도공사","경기도 가평군 청평면 상천역로 29(상천리 1261)","11.86","8km초과","조종면, 가평군, 경기도, 대한민국"
"한국미인테라피","경기","경기","가평군","청평면","37.7256797","127.4264583","OK","청평역","경춘선","한국철도공사","경기도 가평군 청평면 청평역로 97-33(청평리 125-1)","1.09","","청평면, 가평군, 경기도, 대한민국"
"한국미인테라피","경기","경기","고양시","일산동","37.6844028","126.7690149","OK","일산역","경의중앙선","한국철도공사","경기도 고양시 일산서구 경의로 672","0.25","","일산동, 일산1동, 일산서구, 고양시, 경기도, 10352, 대한민국"
"한국미인테라피","경기","경기","고양시-덕양구","고양동","37.7090099","126.8997941","OK","삼송역","일산선","한국철도공사","경기도 고양시 덕양구 삼송로 194","6.23","","고양동, 덕양구, 고양시, 경기도, 대한민국"
"한국미인테라피","경기","경기","고양시-덕양구","관산동","37.6980373","126.8616018","OK","원당역","일산선","한국철도공사","경기도 고양시 덕양구 덕양대로 1429(성사1동 4100-7)","5.26","","관산동, 덕양구, 고양시, 경기도, 대한민국"
"한국미인테라피","경기","경기","고양시-덕양구","능곡동","37.6266625","126.8070727","OK","대곡역","서해선","한국철도공사","경기도 고양시 덕양구 대주로 107번길 71-81(대장동 420-1)","0.60","","능곡동, 덕양구, 고양시, 경기도, 대한민국"
"한국미인테라피","경기","경기","고양시-덕양구","대덕동","37.5904075","126.8522875","OK","한국항공대역","경의중앙선","한국철도공사","경기도 고양시 덕양구 화랑로 53(화전동 183-10)","2.00","","대덕동, 덕양구, 고양시, 경기도, 대한민국"
"한국미인테라피","경기","경기","고양시-덕양구","삼송동","37.6518400","126.8897232","OK","삼송역","일산선","한국철도공사","경기도 고양시 덕양구 삼송로 194","0.53","","삼송동, 삼송1동, 덕양구, 고양시, 경기도, 10589, 대한민국"
"한국미인테라피","경기","경기","고양시-덕양구","성사동","37.6549591","126.8465702","OK","원당역","일산선","한국철도공사","경기도 고양시 덕양구 덕양대로 1429(성사1동 4100-7)","0.38","","성사동, 성사1동, 덕양구, 고양시, 경기도, 10479, 대한민국"
"한국미인테라피","경기","경기","고양시-덕양구","원신동","37.6698003","126.8671701","OK","원흥역","일산선","한국철도공사","경기도 고양시 덕양구 권율대로 681 (원흥동, 원흥역) 원흥역","2.19","","원신동, 덕양구, 고양시, 경기도, 대한민국"
"한국미인테라피","경기","경기","고양시-덕양구","주교동","37.6600889","126.8268991","OK","원당역","일산선","한국철도공사","경기도 고양시 덕양구 덕양대로 1429(성사1동 4100-7)","1.61","","주교동, 덕양구, 고양시, 경기도, 대한민국"
"한국미인테라피","경기","경기","고양시-덕양구","창릉동","37.6306469","126.8912180","OK","구파발역","3호선","서울교통공사","서울특별시 은평구 진관2로 지하15-25 (진관동)","2.52","","창릉동, 덕양구, 고양시, 경기도, 대한민국"
"한국미인테라피","경기","경기","고양시-덕양구","행신동","37.6194469","126.8372169","OK","행신역","경의중앙선","한국철도공사","경기도 고양시 덕양구 행신동 충경로 124번지(행신2동 812)","0.86","","행신동, 행신1동, 덕양구, 고양시, 경기도, 10528, 대한민국"
"한국미인테라피","경기","경기","고양시-덕양구","행주동","37.6098173","126.8171463","OK","능곡역","서해선","한국철도공사","경기도 고양시 덕양구 토당로 35(토당동 454-3)","1.04","","행주동, 덕양구, 고양시, 경기도, 대한민국"
"한국미인테라피","경기","경기","고양시-덕양구","화전동","37.6031310","126.8841703","OK","한국항공대역","경의중앙선","한국철도공사","경기도 고양시 덕양구 화랑로 53(화전동 183-10)","1.40","","화전동, 덕양구, 고양시, 경기도, 대한민국"
"한국미인테라피","경기","경기","고양시-덕양구","화정동","37.6351667","126.8328241","OK","화정역","일산선","한국철도공사","경기도 고양시 덕양구 화정로 60 화정역","0.06","","화정동, 화정1동, 덕양구, 고양시, 경기도, 10497, 대한민국"
"한국미인테라피","경기","경기","고양시-덕양구","효자동","37.6611270","126.9569905","OK","지축역","3호선","서울교통공사","경기도 고양시 덕양구 삼송로 300(지축동)","4.07","","효자동, 덕양구, 고양시, 경기도, 대한민국"
"한국미인테라피","경기","경기","고양시-덕양구","흥도동","37.6313124","126.8620107","OK","원흥역","일산선","한국철도공사","경기도 고양시 덕양구 권율대로 681 (원흥동, 원흥역) 원흥역","2.37","","흥도동, 덕양구, 고양시, 경기도, 대한민국"
"한국미인테라피","경기","경기","고양시-일산동구","고봉동","37.7096193","126.8092190","OK","운정역","경의중앙선","한국철도공사","경기도 파주시 운정역길 368(야당동 299-4번지)","4.10","","고봉동, 일산동구, 고양시, 경기도, 대한민국"
"한국미인테라피","경기","경기","고양시-일산동구","마두동","37.6577703","126.7846924","OK","백마역","경의중앙선","한국철도공사","경기도 고양시 일산동구 경의로 318(풍동 482-8)","0.86","","마두동, 마두2동, 일산동구, 고양시, 경기도, 10411, 대한민국"
"한국미인테라피","경기","경기","고양시-일산동구","백석동","37.6436734","126.7878528","OK","백석역","일산선","한국철도공사","경기도 고양시 일산동구 중앙로 1042","0.08","","백석동, 백석1동, 일산동구, 고양시, 경기도, 10447, 대한민국"
"한국미인테라피","경기","경기","고양시-일산동구","식사동","37.6778734","126.8133169","OK","풍산역","경의중앙선","한국철도공사","경기도 고양시 일산동구 경의로 486(풍동)","2.46","","식사동, 일산동구, 고양시, 경기도, 대한민국"
"한국미인테라피","경기","경기","고양시-일산동구","장항동","37.6495000","126.7653867","OK","마두역","일산선","한국철도공사","경기도 고양시 일산동구 중앙로 지하 1180(마두동)","1.12","","장항동, 장항1동, 일산동구, 고양시, 경기도, 10429, 대한민국"
"한국미인테라피","경기","경기","고양시-일산동구","정발산동","37.6706405","126.7793564","OK","풍산역","경의중앙선","한국철도공사","경기도 고양시 일산동구 경의로 486(풍동)","0.64","","정발산동, 일산동구, 고양시, 경기도, 대한민국"
"한국미인테라피","경기","경기","고양시-일산동구","중산동","37.6901545","126.7804306","OK","일산역","경의중앙선","한국철도공사","경기도 고양시 일산서구 경의로 672","1.30","","중산동, 중산1동, 일산동구, 고양시, 경기도, 10333, 대한민국"
"한국미인테라피","경기","경기","고양시-일산동구","풍산동","37.6641595","126.8011521","OK","백마역","경의중앙선","한국철도공사","경기도 고양시 일산동구 경의로 318(풍동 482-8)","0.88","","풍산동, 일산동구, 고양시, 경기도, 대한민국"
"한국미인테라피","경기","경기","고양시-일산서구","가좌동","37.6839540","126.6997268","OK","운양역","김포도시철도","김포골드라인에스알에스㈜","경기도 김포시 김포한강1로 지하 235","3.63","","가좌동, 일산서구, 고양시, 경기도, 대한민국"
"한국미인테라피","경기","경기","고양시-일산서구","대화동","37.6777329","126.7502918","OK","대화역","일산선","한국철도공사","경기도 고양시 일산서구 중앙로 1569(대화동 2221)","0.30","","대화동, 일산서구, 고양시, 경기도, 대한민국"
"한국미인테라피","경기","경기","고양시-일산서구","덕이동","37.6957279","126.7448226","OK","탄현역","경의중앙선","한국철도공사","경기도 고양시 일산서구 경의로 856(덕이동)","1.44","","덕이동, 일산서구, 고양시, 경기도, 대한민국"
"한국미인테라피","경기","경기","고양시-일산서구","송포동","37.6691138","126.7174631","OK","대화역","일산선","한국철도공사","경기도 고양시 일산서구 중앙로 1569(대화동 2221)","2.77","","송포동, 일산서구, 고양시, 경기도, 대한민국"
"한국미인테라피","경기","경기","고양시-일산서구","일산동","37.6844028","126.7690149","OK","일산역","경의중앙선","한국철도공사","경기도 고양시 일산서구 경의로 672","0.25","","일산동, 일산1동, 일산서구, 고양시, 경기도, 10352, 대한민국"
"한국미인테라피","경기","경기","고양시-일산서구","주엽동","37.6712292","126.7618004","OK","주엽역","일산선","한국철도공사","경기도 고양시 일산서구 중앙로 1432(주엽동 166-7)","0.13","","주엽동, 주엽2동, 일산서구, 고양시, 경기도, 10388, 대한민국"
"한국미인테라피","경기","경기","고양시-일산서구","탄현동","","","OK","","","","","","역미배정",""
"한국미인테라피","경기","경기","과천시","갈현동","37.4149075","126.9824277","OK","정부과천청사역","안산과천선","한국철도공사","경기도 과천시 중앙로 지하 100","1.44","","갈현동, 과천시, 경기도, 13840, 대한민국"
"한국미인테라피","경기","경기","과천시","과천동","37.4497001","127.0008925","OK","선바위역","안산과천선","한국철도공사","경기도 과천시 중앙로 440","0.26","","과천동, 과천시, 경기도, 13815, 대한민국"
"한국미인테라피","경기","경기","과천시","문원동","37.4210755","127.0012297","OK","정부과천청사역","안산과천선","한국철도공사","경기도 과천시 중앙로 지하 100","1.17","","문원동, 과천시, 경기도, 13834, 대한민국"
"한국미인테라피","경기","경기","과천시","별양동","37.4276861","126.9958682","OK","정부과천청사역","안산과천선","한국철도공사","경기도 과천시 중앙로 지하 100","0.55","","별양동, 과천시, 경기도, 13834, 대한민국"
"한국미인테라피","경기","경기","과천시","부림동","37.4348254","126.9984635","OK","과천역","안산과천선","한국철도공사","경기도 과천시 별양로 지하 177","0.29","","부림동, 과천시, 경기도, 13831, 대한민국"
"한국미인테라피","경기","경기","과천시","원문동","37.4222641","126.9914257","OK","정부과천청사역","안산과천선","한국철도공사","경기도 과천시 중앙로 지하 100","0.49","","원문동, 과천시, 경기도, 13839, 대한민국"
"한국미인테라피","경기","경기","과천시","중앙동","37.4288386","126.9891084","OK","정부과천청사역","안산과천선","한국철도공사","경기도 과천시 중앙로 지하 100","0.27","","중앙동, 과천시, 경기도, 13806, 대한민국"
"한국미인테라피","경기","경기","광명시","광명동","37.4755611","126.8538184","OK","광명사거리역","7호선","서울교통공사","경기도 광명시 오리로 지하980(광명동)","0.42","","광명동, 광명4동, 광명시, 경기도, 14268, 대한민국"
