운영기관,노선,대표역,원본역사명,도로명주소,위도,경도,데이터기준일자
경기도 신분당선,신분당선,신사역,신사,서울특별시 강남구 강남대로 620-2,37.5161252633129,127.019760916726,2026-06-18
경기도 신분당선,신분당선,논현역,논현,서울특별시 강남구 강남대로 492-2,37.5111153846379,127.021365807131,2026-06-18
경기도 신분당선,신분당선,신논현역,신논현,서울특별시 강남구 강남대로 302-2,37.504555429592,127.024530640799,2026-06-18
경기도 신분당선,신분당선,강남역,강남,서울특별시 강남구 강남대로 지하 396,37.4973854397871,127.02787893753,2026-06-18
경기도 신분당선,신분당선,양재역,양재(서초구청),서울시 서초구 남부순환로 지하 2585,37.4844535239588,127.034099452522,2026-06-18
경기도 신분당선,신분당선,양재시민의숲역,양재시민의숲(매헌),서울특별시 서초구 매헌로 지하 116,37.4709638768813,127.038420263319,2026-06-18
경기도 신분당선,신분당선,청계산입구역,청계산입구,서울특별시 서초구 청계산로 지하 179,37.4487148450701,127.054339616958,2026-06-18
경기도 신분당선,신분당선,판교역,판교,경기도 성남시 분당구 판교역로 지하 160,37.3957147534829,127.111210738619,2026-06-18
경기도 신분당선,신분당선,정자역,정자,경기도 성남시 분당구 성남대로 지하 333 ,37.3682101915529,127.108385905864,2026-06-18
경기도 신분당선,신분당선,미금역,미금,경기도 성남시 성남대로 지하 163 (금곡동),37.3511833209472,127.108902778591,2026-06-18
경기도 신분당선,신분당선,동천역,동천,경기도 용인시 수지구 신수로 지하760,37.3386841329961,127.102793673668,2026-06-18
경기도 신분당선,신분당선,수지구청역,수지구청,경기도 용인시 수지구 풍덕천로 지하120 ,37.3230089609191,127.095581285703,2026-06-18
경기도 신분당선,신분당선,성복역,성복,경기도 용인시 수지구 수지로 지하134,37.3140425091456,127.080757826931,2026-06-18
경기도 신분당선,신분당선,상현역,상현,경기도 용인시 수지구 광교중앙로 지하312,37.2986852587224,127.06957991138,2026-06-18
경기도 신분당선,신분당선,광교중앙역,광교중앙(아주대),경기도 수원시 영통구 도청로 지하45,37.2877375194967,127.052625032841,2026-06-18
경기도 신분당선,신분당선,광교역,광교(경기대),경기도 수원시 영통구 대학로 55 신분당선 광교역,37.3017347422146,127.044856131638,2026-06-18
경기도 용인경전철,에버라인,기흥역,기흥(백남준아트센터),경기도 용인시 기흥구 중부대로 460,37.27545288,127.1170465,2025-03-25
경기도 용인경전철,에버라인,강남대역,강남대,경기도 용인시 기흥구 중부대로 578,37.27017073,127.1260669,2025-03-25
경기도 용인경전철,에버라인,지석역,지석,경기도 용인시 기흥구 어정로 28,37.26973732,127.1363256,2025-03-25
경기도 용인경전철,에버라인,어정역,어정,경기도 용인시 기흥구 어정로 128,37.27495132,127.1437499,2025-03-25
경기도 용인경전철,에버라인,동백역,동백(용인세브란스),경기도 용인시 기흥구 동백죽전대로 314,37.26910138,127.1526906,2025-03-25
경기도 용인경전철,에버라인,초당역,초당,경기도 용인시 기흥구 동백죽전대로 204,37.26080647,127.1594692,2025-03-25
