"Type","Group","DuplicateCount","Value","File"
"TITLE","1","3","강동구 상세페이지 이동 | 몽라운지","gangdong-gu/index.html"
"TITLE","1","3","강동구 상세페이지 이동 | 몽라운지","gangdong-gu/cheonho-amsa-riverside/index.html"
"TITLE","1","3","강동구 상세페이지 이동 | 몽라운지","gangdong-gu/godeok-sangil-residential/index.html"
"TITLE","2","2","내정보 | 몽라운지","mypage.html"
"TITLE","2","2","내정보 | 몽라운지","mypage/index.html"
"TITLE","3","2","회원가입 | 몽라운지","join.html"
"TITLE","3","2","회원가입 | 몽라운지","join/index.html"
"TITLE","4","2","로그인 | 몽라운지","login.html"
"TITLE","4","2","로그인 | 몽라운지","login/index.html"
"DESCRIPTION","1","2","북면을 중심으로 주거·상업 생활권과 주변 이동 동선을 정리했습니다. 가까운 지역과 이용 범위를 비교하고 위치 선택에 참고할 수 있습니다.","massage/북면-출장마사지-창원-의창구-생활권-지역정보-이용안내/index.html"
"DESCRIPTION","1","2","북면을 중심으로 주거·상업 생활권과 주변 이동 동선을 정리했습니다. 가까운 지역과 이용 범위를 비교하고 위치 선택에 참고할 수 있습니다.","massage/북면-출장마사지-가평군-생활권-지역정보-이용안내/index.html"
