"광역지역","상위지역","하위지역","예상역명","판정","사용역","사용역주소","같은이름역개수"
"경기","고양시-일산서구","탄현동","탄현역","사용가능","탄현역","경기도 고양시 일산서구 경의로 856(덕이동)","1"
"경기","군포시","군포동","군포역","사용가능","군포역","경기도 군포시 군포역1길 27","1"
"경기","부천시-소사구","역곡동","역곡역","광역일치_상위지역불일치","","","1"
"경기","부천시-오정구","고강본동","고강본역","동일이름역없음","","","0"
"경기","부천시-오정구","성곡동","성곡역","동일이름역없음","","","0"
"경기","부천시-오정구","오정동","오정역","동일이름역없음","","","0"
"경기","부천시-오정구","원종동","원종역","광역일치_상위지역불일치","","","1"
"경기","성남시-수정구","위례동","위례역","동일이름역없음","","","0"
"경기","수원시-팔달구","매산동","매산역","동일이름역없음","","","0"
"경기","시흥시","거북섬동","거북섬역","동일이름역없음","","","0"
"경기","안성시","안성동","안성역","동일이름역없음","","","0"
"경기","안양시-동안구","인덕원동","인덕원역","사용가능","인덕원역","경기도 안양시 동안구 흥안대로 529","1"
"경기","안양시-만안구","명학동","명학역","사용가능","명학역","경기도 안양시 만안구 만안로 20","1"
"경기","안양시-만안구","병목안동","병목안역","동일이름역없음","","","0"
"경기","안양시-만안구","충훈동","충훈역","동일이름역없음","","","0"
"경기","안양시-만안구","호현동","호현역","동일이름역없음","","","0"
"경기","양주시","양주동","양주역","사용가능","양주역","경기도 양주시 평화로 919(남방동 94-1)","1"
"경기","양주시","회천동","회천역","동일이름역없음","","","0"
"경기","용인시-처인구","중앙동","중앙역","광역일치_상위지역불일치","","","3"
"경기","파주시","운정동","운정역","사용가능","운정역","경기도 파주시 운정역길 368(야당동 299-4번지)","1"
"경기","평택시","신평동","신평역","타지역동명이역","","","1"
"경기","화성시-동탄구","동탄동","동탄역","동일이름역없음","","","0"
"서울","강서구","발산동","발산역","사용가능","발산역","서울특별시 강서구 공항대로 지하267(마곡동)","1"
"서울","성동구","성수1가제1동","성수1가제1역","동일이름역없음","","","0"
"서울","성동구","성수2가제1동","성수2가제1역","동일이름역없음","","","0"
"서울","성동구","성수2가제3동","성수2가제3역","동일이름역없음","","","0"
"서울","성동구","왕십리동","왕십리역","동일지역중복","","","4"
"서울","성북구","월곡동","월곡역","사용가능","월곡역","서울특별시 성북구 월곡로 지하107(하월곡동)","1"
"인천","계양구","계양동","계양역","동일지역중복","","","2"
"충남","아산","온양동","온양역","동일이름역없음","","","0"
"충남","천안","부성동","부성역","동일이름역없음","","","0"
